Timestamp,Role,Message
"11:57, 15.9.2023",Forscher,"Ich fasse nochmal zusammen: Der Kurs umfasst sehr viel Stoff, und du bist dir zurzeit unsicher, wie du am besten vorgehen solltest. In der Vergangenheit hast du Zusammenfassungen geschrieben, jedoch warst du damit noch nicht ganz zufrieden. Außerdem ist Zeit ein Problem für dich. Stimmt das?"
"11:57, 15.9.2023",Teilnehmende Person,Ja
"11:58, 15.9.2023",Forscher,"Auf einer Skala von 1 bis 10, wie wichtig ist dieses Thema für dich?"
"11:58, 15.9.2023",Teilnehmende Person,8
"11:58, 15.9.2023",Forscher,"Also eine 8. Wie ich sehe, ist das Thema wichtig für dich. Ist es für dich in Ordnung, wenn wir auf Basis dieses Themas ein konkretes Ziel für dich formulieren?"
"11:59, 15.9.2023",Teilnehmende Person,Gerne
"11:59, 15.9.2023",Forscher,"Ich möchte nun mit dir ein Ziel formulieren. Zielformulierung im Lerncoaching bietet Klarheit, fördert die Motivation und ermöglicht eine messbare Überwachung des Fortschritts. "
"11:59, 15.9.2023",Teilnehmende Person,Ja super
"11:59, 15.9.2023",Forscher,"Super! Um ein Ziel genau formulieren zu können möchte ich mit dir die SMART – Regel verwenden. SMART ist ein Akronym und steht für: Spezifisch, Messbar, Anspruchsvoll/Attraktiv, Realistisch und Terminiert. Lass uns die einzelnen Schritte einmal gemeinsam durchgehen."
"11:59, 15.9.2023",Forscher,1.	Was genau möchtest du in deinen eigenen Worten erreichen?
"12:01, 15.9.2023",Teilnehmende Person,Ich möchte eine verständliche und strukturierte Zusammenfassung erstellen und dafür ausreichend Zeit einplanen
"12:01, 15.9.2023",Forscher,"2.	Woran würdest du merken, dass du dein Ziel erreicht hast?"
"12:02, 15.9.2023",Teilnehmende Person,Wenn ich meine Zusammenfassung gut nutzen kann und vor der Klausur ohne Zeitdruck lernen kann.
"12:02, 15.9.2023",Forscher,3.	Warum ist dieses Ziel wichtig für dich?
"12:02, 15.9.2023",Teilnehmende Person,Weil es mein Studium im allgemeinen erleichtern würde
"12:02, 15.9.2023",Forscher,4.	Ist das Ziel realistisch für dich?
"12:03, 15.9.2023",Teilnehmende Person,"Wenn ich mich selbst gut organisiere, bestimmt"
"12:03, 15.9.2023",Forscher,5.	Bis wann möchtest du dein Ziel erreicht haben?
"12:03, 15.9.2023",Teilnehmende Person,Mindestens zwei Wochen vor der Klausur
"12:04, 15.9.2023",Forscher,Vielen Dank für deine Antworten! Lass uns nun die gesammelten Informationen in einem oder maximal zwei Sätzen zusammenfassen. Hier ist ein Beispiel für dich: 
"12:08, 15.9.2023",Teilnehmende Person,"Innerhalb des nächsten Semesters strebe ich an, mich durch eine gut strukturierte sowie verständlich formulierte Zusammenfassung und ausreichend Zeit zuverlässig und stressfrei auf die kommende Klausur vorzubereiten, um damit mein Studium besser abschließen zu können, anhand eines guten Managements meinerselbst."
"12:08, 15.9.2023",Forscher,"Prima! Ich danke dir für deine aktive Mitarbeit. Zum Abschluss besprechen wir gemeinsam, wie du dein definiertes Ziel in die Praxis umsetzen kannst."
"12:09, 15.9.2023",Teilnehmende Person,Bereits während der Vorlesungszeit jedes abgeschlossene Kapitel weitestgehend zusammenzufassen
"12:09, 15.9.2023",Forscher,"Ich verstehe, du möchtest Kapitel bereits während der Vorlesungszeit zusammenfassen."
"12:10, 15.9.2023",Teilnehmende Person,"Ja, um damit Zeit im gleichen Zuge Zeit zu sparen"
"12:10, 15.9.2023",Forscher,"Gibt es noch Möglichkeiten, wie du die Zusammenfassungen effizienter gestalten könntest, um noch mehr Zeit zu sparen?"
"12:11, 15.9.2023",Teilnehmende Person,"Die wichtigsten Punkte der Kapitel möglichst in Stichpunkten, aber verständlich aufzuschreiben"
"12:11, 15.9.2023",Forscher,"Stell dir vor, der Kurs wäre vorbei, und du hättest erfolgreich den Stoff strukturiert. Wie fühlst du dich dabei?"
"12:11, 15.9.2023",Teilnehmende Person,Sehr gut und erleichtert
"12:12, 15.9.2023",Forscher,Super!
"12:13, 15.9.2023",Teilnehmende Person,"Mir täglich To Do listen schreiben, für einen Überblick"
"12:13, 15.9.2023",Forscher,Vielen Dank für deine Lösungsvorschläge. Ich wünsche dir viel Erfolg bei der Umsetzung deines Zieles!
"12:14, 15.9.2023",Teilnehmende Person,Vielen Dank für das tolle Coaching! :)
"12:14, 15.9.2023",Forscher,Vielen Dank für deine Teilnahme an dieser Studie! Wende dich nun an den Betreuer.
