Timestamp,Role,Message
"10:31, 15.9.2023",Teilnehmende Person,Bis zur nächsten Prüfungsphase
"10:32, 15.9.2023",Forscher,Vielen Dank für deine Antworten! Lass uns nun die gesammelten Informationen in einem oder maximal zwei Sätzen zusammenfassen. Hier ist ein Beispiel für dich: 
"10:35, 15.9.2023",Teilnehmende Person,Bis zum Ende des nächsten Semesters will ich struktrierte Arbeitsweisen mir aneignen um für die nächsten Hausarbeiten durch eine bessere Vorplanung und rechtzeitige Durchführung nicht mehr Zeitdruck als Motivation zum schreiben meine Hausarbeiten zu brauchen.
"10:35, 15.9.2023",Forscher,"Prima! Ich danke dir für deine aktive Mitarbeit. Zum Abschluss besprechen wir gemeinsam, wie du dein definiertes Ziel in die Praxis umsetzen kannst."
"10:35, 15.9.2023",Teilnehmende Person,Feste Zeitslots für Arbeitssessions
"10:36, 15.9.2023",Forscher,Möchtest du also feste Zeitslots in deinem Zeitplan einrichten?
"10:36, 15.9.2023",Teilnehmende Person,Ja
"10:36, 15.9.2023",Forscher,Ist das zurzeit für dich realistisch? Wie fühlt sich die erste Umsetzung dieser Idee an?
"10:37, 15.9.2023",Teilnehmende Person,An die Bibliothek fahren zum Arbeiten um nicht davon abgelenkt zu werden
"10:37, 15.9.2023",Forscher,"Wenn etwas dazwischenkommt und du die Zeitslots nicht einhalten kannst, welche Maßnahmen könntest du ergreifen, um damit umzugehen?"
"10:38, 15.9.2023",Teilnehmende Person,"An anderen Tagen Zeit den Slot erfüllen oder mich damit abfinden, einen Slot nicht einhalten zu können"
"10:39, 15.9.2023",Forscher,"Wenn du in die Zukunft blickst und dir vorstellst, wie du eine Hausarbeit ohne Stress abgibst, wie würde sich das für dich anfühlen?"
"10:39, 15.9.2023",Teilnehmende Person,Absolut grandios
"10:40, 15.9.2023",Forscher,Das freut mich zu hören. Abschließend eine Frage: Wie kannst du das Ziel im Kopf behalten?
"10:41, 15.9.2023",Teilnehmende Person,"Visualisierung der Zeitplanung, zum Beispiel durch einen Kalender. "
"10:41, 15.9.2023",Forscher,Vielen Dank für deine Lösungsvorschläge. Ich wünsche dir viel Erfolg bei der Umsetzung deines Zieles!
"10:42, 15.9.2023",Teilnehmende Person,"Diese Übung hat geholfen, Punkte die ich eigentlich bereits weis und meistens mit mir selber ausmache zu äußern und zu visualiseren und dadurch mit einer anderen Persepektive darauf zu schauen"
"10:42, 15.9.2023",Forscher,Vielen Dank für deine Teilnahme an dieser Studie! Wende dich nun an den Betreuer.
